,Bureau of Meteorology station number,Rainfall amount (millimetres),Maximum temperature (Degree C),Minimum temperature (Degree C),Date
0,9225,,,,1993-01-01
1,9225,,,,1993-01-02
2,9225,,,,1993-01-03
3,9225,,,,1993-01-04
4,9225,,,,1993-01-05
5,9225,,,,1993-01-06
6,9225,,,,1993-01-07
7,9225,,,,1993-01-08
8,9225,,,,1993-01-09
9,9225,,,,1993-01-10
10,9225,,,,1993-01-11
11,9225,,,,1993-01-12
12,9225,,,,1993-01-13
13,9225,,,,1993-01-14
14,9225,,,,1993-01-15
15,9225,,,,1993-01-16
16,9225,,,,1993-01-17
17,9225,,,,1993-01-18
18,9225,,,,1993-01-19
19,9225,,,,1993-01-20
20,9225,,,,1993-01-21
21,9225,,,,1993-01-22
22,9225,,,,1993-01-23
23,9225,,,,1993-01-24
24,9225,,,,1993-01-25
25,9225,,,,1993-01-26
26,9225,,,,1993-01-27
27,9225,,,,1993-01-28
28,9225,,,,1993-01-29
29,9225,,,,1993-01-30
30,9225,,,,1993-01-31
31,9225,0.0,,,1993-02-01
32,9225,0.0,,,1993-02-02
33,9225,0.0,,,1993-02-03
34,9225,0.0,,,1993-02-04
35,9225,0.0,,,1993-02-05
36,9225,23.0,,,1993-02-06
37,9225,4.6,,,1993-02-07
38,9225,0.0,,,1993-02-08
39,9225,0.0,,,1993-02-09
40,9225,0.0,,,1993-02-10
41,9225,0.0,,,1993-02-11
42,9225,0.0,,,1993-02-12
43,9225,0.0,,,1993-02-13
44,9225,0.0,,,1993-02-14
45,9225,0.0,,,1993-02-15
46,9225,0.0,,,1993-02-16
47,9225,0.0,,,1993-02-17
48,9225,0.0,,,1993-02-18
49,9225,0.0,,,1993-02-19
50,9225,0.0,,,1993-02-20
51,9225,0.0,,,1993-02-21
52,9225,0.0,,,1993-02-22
53,9225,0.0,,,1993-02-23
54,9225,0.0,,,1993-02-24
55,9225,0.0,,,1993-02-25
56,9225,0.0,,,1993-02-26
57,9225,0.0,,,1993-02-27
58,9225,0.0,,,1993-02-28
59,9225,0.0,,,1993-03-01
60,9225,0.0,,,1993-03-02
61,9225,0.0,,,1993-03-03
62,9225,0.0,,,1993-03-04
63,9225,0.0,,,1993-03-05
64,9225,0.0,,,1993-03-06
65,9225,0.0,,,1993-03-07
66,9225,0.0,,,1993-03-08
67,9225,0.0,,,1993-03-09
68,9225,0.0,,,1993-03-10
69,9225,0.0,,,1993-03-11
70,9225,0.0,,,1993-03-12
71,9225,0.0,,,1993-03-13
72,9225,0.0,,,1993-03-14
73,9225,0.0,,,1993-03-15
74,9225,0.0,,,1993-03-16
75,9225,0.0,,,1993-03-17
76,9225,0.8,,,1993-03-18
77,9225,1.6,,,1993-03-19
78,9225,1.4,,,1993-03-20
79,9225,0.0,,,1993-03-21
80,9225,0.0,,,1993-03-22
81,9225,0.0,,,1993-03-23
82,9225,0.0,,,1993-03-24
83,9225,2.0,,,1993-03-25
84,9225,0.0,,,1993-03-26
85,9225,0.0,,,1993-03-27
86,9225,0.0,,,1993-03-28
87,9225,0.0,,,1993-03-29
88,9225,0.0,,,1993-03-30
89,9225,0.0,,,1993-03-31
90,9225,0.0,,,1993-04-01
91,9225,0.0,,,1993-04-02
92,9225,5.2,,,1993-04-03
93,9225,1.4,,,1993-04-04
94,9225,2.6,,,1993-04-05
95,9225,0.0,,,1993-04-06
96,9225,0.0,,,1993-04-07
97,9225,0.0,,,1993-04-08
98,9225,1.8,,,1993-04-09
99,9225,0.0,,,1993-04-10
100,9225,2.6,,,1993-04-11
101,9225,0.0,,,1993-04-12
102,9225,0.0,,,1993-04-13
103,9225,0.0,,,1993-04-14
104,9225,0.0,,,1993-04-15
105,9225,0.0,,,1993-04-16
106,9225,0.0,,,1993-04-17
107,9225,1.0,,,1993-04-18
108,9225,0.0,,,1993-04-19
109,9225,0.0,,,1993-04-20
110,9225,0.0,,,1993-04-21
111,9225,0.0,,,1993-04-22
112,9225,0.0,,,1993-04-23
113,9225,0.0,,,1993-04-24
114,9225,0.0,,,1993-04-25
115,9225,0.0,,,1993-04-26
116,9225,0.0,,,1993-04-27
117,9225,0.0,,,1993-04-28
118,9225,0.0,,,1993-04-29
119,9225,0.0,,,1993-04-30
120,9225,0.0,,,1993-05-01
121,9225,33.0,,,1993-05-02
122,9225,0.0,,,1993-05-03
123,9225,0.0,,,1993-05-04
124,9225,0.0,,,1993-05-05
125,9225,0.0,,,1993-05-06
126,9225,0.0,,,1993-05-07
127,9225,0.0,,,1993-05-08
128,9225,0.0,,,1993-05-09
129,9225,0.0,,,1993-05-10
130,9225,0.0,,,1993-05-11
131,9225,0.0,,,1993-05-12
132,9225,0.0,,,1993-05-13
133,9225,0.0,,,1993-05-14
134,9225,0.0,,,1993-05-15
135,9225,0.0,,,1993-05-16
136,9225,0.0,,,1993-05-17
137,9225,9.0,,,1993-05-18
138,9225,12.6,,,1993-05-19
139,9225,1.0,,,1993-05-20
140,9225,0.0,,,1993-05-21
141,9225,0.0,,,1993-05-22
